OrgID,EnrollDate,ChurnDate,OrgSize,Industry,IndustryGroup,Enrollment Plan,PromoType,Acquisition Channel,F28 Active Rate,Avg Lifetime Active,F28 Cc Flag,eLTV/CAC,Churned,Enrollment Duration,User_id
402899,2021-10-06,,2-6,Heating & Air Conditioning,Heating & Air Conditioning,Large,2+ month,Marketing - Paid,0.179,0.222,0,7.1,0,429.0,40289920211006
402900,2021-10-06,,2-6,Electrical,Electrical,Small,One Month,Sales,0.0,0.027000000000000003,0,2.3,0,429.0,40290020211006
402901,2021-10-06,,2-6,Concrete & Asphalt,Other,Starter,One Month,Sales,0.036000000000000004,0.013000000000000001,0,1.1,0,429.0,40290120211006
402905,2021-10-06,,0-1,General Contractor,General Contractor,Starter,One Month,Marketing - Paid,0.179,0.09699999999999999,0,0.9,0,429.0,40290520211006
402907,2021-10-06,2021-10-14,2-6,Water Treatment,Other,Starter,One Month,Sales,0.071,0.027000000000000003,0,1.1,1,8.0,40290720211006
402908,2021-10-19,,2-6,General Contractor,General Contractor,Small,No Promo,Marketing - Unpaid,0.536,0.444,0,2.5,0,416.0,40290820211019
402909,2021-10-06,,2-6,Electrical,Electrical,Small,One Month,Sales,0.0,0.013000000000000001,0,2.3,0,429.0,40290920211006
402913,2021-10-06,,2-6,Heating & Air Conditioning,Heating & Air Conditioning,Small,One Month,Sales,0.0,0.013000000000000001,0,2.5,0,429.0,40291320211006
402914,2021-10-06,2021-11-05,2-6,Handyman,Handyman,Small,One Month,Sales,0.0,0.013000000000000001,0,1.5,1,30.0,40291420211006
402915,2021-10-06,,2-6,Plumbing,Plumbing,Large,2+ month,Marketing - Paid,0.28600000000000003,0.569,1,10.3,0,429.0,40291520211006
