OrgID,EnrollDate,ChurnDate,OrgSize,Industry,IndustryGroup,Enrollment Plan,PromoType,Acquisition Channel,F28 Active Rate,Avg Lifetime Active,F28 Cc Flag,eLTV/CAC,Churned,Enrollment Duration,User_id
402296,2021-10-25,,0-1,Appliances,Appliances,Starter,No Promo,Marketing - Unpaid,0.321,0.18600000000000003,0,1.0,0,410.0,40229620211025
402306,2021-11-01,,2-6,Business Services,Other,Small,One Month,Marketing - Unpaid,0.5,0.32,1,1.6,0,403.0,40230620211101
402311,2021-10-03,,2-6,Handyman,Handyman,Starter,No Promo,Product,0.607,0.34600000000000003,0,1.0,0,432.0,40231120211003
402315,2021-10-29,,2-6,Home Cleaning,Home Cleaning,Small,One Month,Marketing - Unpaid,0.9640000000000001,0.693,0,2.0,0,406.0,40231520211029
402318,2021-10-04,2021-11-03,0-1,Home Cleaning,Home Cleaning,Large,Special - One Month,Marketing - Unpaid,0.25,0.133,1,4.3,1,30.0,40231820211004
402320,2021-10-04,,2-6,Plumbing,Plumbing,Small,One Month,Marketing - Unpaid,0.821,0.8,0,2.7,0,431.0,40232020211004
402354,2021-10-23,,0-1,Window & Exterior Cleaning,Window & Exterior,Small,One Month,Marketing - Unpaid,0.0,0.013000000000000001,0,,0,412.0,40235420211023
402360,2021-10-07,2021-11-06,2-6,Organization & Interior Design,Other,Starter,One Month,Marketing - Unpaid,0.0,0.04,0,1.1,1,30.0,40236020211007
402387,2021-10-04,,0-1,General Contractor,General Contractor,Small,One Month,Marketing - Paid,0.0,0.013000000000000001,0,1.6,0,431.0,40238720211004
402393,2021-10-04,,7-10,Landscaping & Lawn,Landscaping & Lawn,Small,One Month,Sales,0.0,0.0,0,1.9,0,431.0,40239320211004
402396,2021-10-04,,2-6,Heating & Air Conditioning,Heating & Air Conditioning,Large,2+ month,BD,0.107,0.162,0,6.8,0,431.0,40239620211004
402397,2021-10-04,2021-11-04,7-10,General Contractor,General Contractor,Large,No Promo,BD,0.0,0.013000000000000001,0,5.7,1,31.0,40239720211004
402399,2021-10-14,,2-6,Heating & Air Conditioning,Heating & Air Conditioning,Small,No Promo,Marketing - Paid,0.39299999999999996,0.405,1,3.2,0,421.0,40239920211014
402404,2021-10-04,2021-12-03,0-1,Heating & Air Conditioning,Heating & Air Conditioning,Small,One Month,Sales,0.0,0.0,0,2.6,1,60.0,40240420211004
402411,2021-10-04,2021-11-03,2-6,Air Duct Cleaning,Other,Small,One Month,Sales,0.107,0.054000000000000006,0,2.2,1,30.0,40241120211004
402413,2021-10-04,,2-6,Landscaping & Lawn,Landscaping & Lawn,Small,One Month,Marketing - Paid,0.643,0.7020000000000001,0,2.1,0,431.0,40241320211004
402415,2021-10-04,2021-12-03,2-6,Landscaping & Lawn,Landscaping & Lawn,Small,One Month,Sales,0.036000000000000004,0.027000000000000003,0,1.6,1,60.0,40241520211004
402444,2021-10-04,,0-1,Window & Exterior Cleaning,Window & Exterior,Starter,No Promo,Marketing - Paid,0.536,0.486,1,0.9,0,431.0,40244420211004
402451,2021-10-19,,0-1,General Contractor,General Contractor,Starter,One Month,Marketing - Unpaid,0.857,0.8640000000000001,0,0.9,0,416.0,40245120211019
402464,2021-10-13,,2-6,Plumbing,Plumbing,Small,One Month,Marketing - Unpaid,0.429,0.621,1,4.1,0,422.0,40246420211013
402466,2021-10-04,,2-6,Heating & Air Conditioning,Heating & Air Conditioning,Starter,No Promo,Marketing - Unpaid,0.893,0.905,1,1.2,0,431.0,40246620211004
